,ARRIVE_TIME
1052,25102.0
1053,25107.0
1054,25112.0
1055,25117.0
1056,25122.0
1057,25127.0
1058,25132.0
1059,25136.0
1060,25202.0
1061,25207.0
1062,25212.0
1063,25217.0
1064,25222.0
1065,25227.0
1066,25232.0
1067,25237.0
1068,25242.0
1069,25247.0
1070,25252.0
1071,25257.0
1072,25262.0
1073,25267.0
1074,25272.0
1075,25277.0
1076,25282.0
1077,25287.0
1078,25292.0
1079,25297.0
1080,25302.0
1081,25307.0
1082,25312.0
1083,25317.0
1084,25322.0
1085,25327.0
1086,25337.0
1087,25342.0
1088,25347.0
1089,25352.0
1090,25357.0
1091,25362.0
1092,25367.0
1093,25375.0
1094,25380.0
1095,25385.0
1096,25390.0
1097,25395.0
1098,25400.0
1099,25405.0
1100,25410.0
1101,25415.0
1102,25420.0
1103,25425.0
1104,25430.0
1105,25435.0
1106,25440.0
1107,25445.0
1108,25450.0
1109,25455.0
1110,25460.0
1111,25465.0
1112,25470.0
1113,25475.0
1114,25480.0
1115,25485.0
1116,25490.0
1117,25495.0
1118,25500.0
1119,25505.0
1120,25510.0
1121,25515.0
1122,25520.0
1123,25525.0
1124,25530.0
1125,25535.0
1126,25540.0
1127,25545.0
1128,25560.0
1129,25565.0
1130,25570.0
1131,25575.0
1132,25580.0
1133,25585.0
1134,25590.0
1135,25595.0
1136,25600.0
1137,25605.0
1138,25610.0
1139,25615.0
1140,25620.0
1141,25625.0
1142,25630.0
1143,25635.0
1144,25640.0
1145,25645.0
1146,25650.0
1147,25654.0
1148,25680.0
1149,25685.0
1150,25690.0
1151,25695.0
1152,25700.0
1153,25705.0
1154,25710.0
1155,25715.0
1156,25720.0
1157,25725.0
1158,25730.0
1159,25735.0
1160,25740.0
1161,25745.0
1162,25750.0
1163,25755.0
1164,25760.0
1165,25765.0
1166,25770.0
1167,25775.0
1168,25780.0
1169,25785.0
1170,25790.0
1171,25795.0
1172,25800.0
1173,25805.0
1174,25810.0
1175,25815.0
1176,25820.0
1177,25825.0
1178,25830.0
1179,25835.0
1180,25840.0
1181,25845.0
1182,25850.0
1183,25855.0
1184,25860.0
1185,25865.0
1186,25870.0
1187,25875.0
1188,25880.0
1189,25885.0
1190,25890.0
1191,25895.0
1192,25900.0
1193,25905.0
1194,25910.0
